Gu,ID,Station,Address,Latitude,Longitude,Date,No_of_Racks
동대문구,661,경희대학교 청운관,동대문구 경희대로 26,37.594601,127.051964,2018.08.30,10
동대문구,663,외대앞역 4번출구,동대문구 휘경동 146-42,37.594891,127.063026,2018.12.14,10
은평구,900,900. 은평예술회관,서울특별시 은평구 녹번동 85-4,37.603943,126.927696,2016-09-02 11:00,20
은평구,901,901. 응암1동사무소,서울특별시 은평구 응암동 84-14,37.600975,126.926956,2016-09-02 11:00,10
은평구,902,902. 진관동 은빛초등학교,서울특별시 은평구 진관동 45-21,37.643108,126.918221,2016-09-02 11:00,10
은평구,903,903. 은평뉴타운 아이파크,서울특별시 은평구 진관동 13-20,37.645866,126.927391,2016-09-02 11:00,20
은평구,904,904. 은평뉴타운 푸르지오,서울특별시 은평구 진관동 5-8,37.648674,126.930702,2016-09-02 11:00,18
은평구,905,905. 구파발역 2번출구,서울특별시 은평구 진관동 86-31,37.636234,126.918999,2016-09-02 11:00,11
은평구,906,906. 연신내역 5번출구150M 아래,서울특별시 은평구 대조동 207-8,37.61721,126.919579,2016-09-02 11:00,10
은평구,907,907. CJ 드림시티,서울특별시 은평구 역촌동 43-11,37.599491,126.916862,2016-09-02 11:00,10
은평구,908,908. 구산역 4번출구,서울특별시 은평구 갈현동 536-8,37.613186,126.917351,2016-09-02 11:00,10
은평구,909,909. 백련산 힐스테이트 3차,서울특별시 은평구 응암동 761-9,37.586994,126.922882,2016-09-02 11:00,10
은평구,911,911. 은평평화공원(역촌역4번출구),서울특별시 은평구 녹번동 153-31,37.605583,126.922935,2016-09-02 11:00,10
은평구,912,912. 응암오거리,서울특별시 은평구 응암동 604-5,37.589661,126.916946,2016-09-02 11:00,10
은평구,913,913. 이마트 은평점,서울특별시 은평구 응암동 90-15,37.6007,126.920128,2016-09-02 11:00,15
은평구,914,914. 새절역 2번출구,서울특별시 은평구 응암동 610-3,37.590797,126.913651,2016-09-02 11:00,20
은평구,915,915. 증산역 4번출구,서울특별시 은평구 증산동 199-8,37.584381,126.909897,2016-09-02 11:00,10
은평구,916,916. 평생학습관 앞,서울특별시 은평구 역촌동 15-40,37.607849,126.921326,2016-09-02 11:00,7
은평구,917,917. 녹번역 4번출구,서울특별시 은평구 녹번동 55,37.601299,126.935349,2016-09-02 11:00,9
