Date_out,Time_out,Count,date,time,cum_precipitation,humidity,insolation,pressure,sea_lvl_pressure,sunshine,temp,wind,wind_direction,Rain_YN,N,Y,over_500
2019-10-03,1,64,2019-10-03,1,2.3616666666666664,93.84666666666666,0.0,993.01,1002.91,0,20.016666666666666,3.29,178.78833333333333,Y,0,1,0
2019-10-03,2,73,2019-10-03,2,3.353333333333333,93.45333333333332,0.0,992.6683333333332,1002.5683333333332,0,19.90833333333333,3.056666666666666,333.4,Y,0,1,0
2019-10-03,3,78,2019-10-03,3,3.93,91.68666666666668,0.0,992.2533333333332,1002.1533333333332,0,19.92333333333333,2.125,330.11,Y,0,1,0
2019-10-03,4,57,2019-10-03,4,4.423333333333334,93.06166666666668,0.0,992.3166666666668,1002.2166666666668,0,19.92833333333333,1.9316666666666669,251.535,Y,0,1,0
2019-10-03,5,43,2019-10-03,5,4.5,95.02833333333334,0.0,992.835,1002.735,0,19.871666666666663,2.8866666666666663,236.11666666666667,Y,0,1,0
2019-10-03,6,44,2019-10-03,6,4.545,94.375,0.0,993.095,1002.995,0,19.851666666666667,3.94,243.47666666666663,Y,0,1,0
2019-10-03,7,82,2019-10-03,7,4.6,90.7,0.0368333333333333,993.4916666666668,1003.3916666666668,0,20.058333333333334,3.856666666666667,257.14166666666665,Y,0,1,0
2019-10-03,8,208,2019-10-03,8,4.6,85.06833333333334,0.2455,994.1516666666666,1004.0083333333332,0,20.57,3.725,240.36666666666667,Y,0,1,0
2019-10-03,9,302,2019-10-03,9,4.6,81.025,0.703,994.7783333333332,1004.5783333333331,0,21.298333333333336,3.3466666666666667,247.7783333333333,Y,0,1,0
2019-10-03,10,372,2019-10-03,10,4.6,74.16333333333334,1.7383333333333333,995.3083333333332,1005.0666666666668,528,22.55666666666667,3.293333333333333,236.44833333333327,Y,0,1,0
2019-10-03,11,459,2019-10-03,11,4.6,66.99333333333333,3.3876666666666666,995.6266666666668,1005.3266666666666,3621,23.98,3.5683333333333334,252.3633333333333,Y,0,1,0
2019-10-03,12,547,2019-10-03,12,1.0766666666666669,93.94,0.0566666666666666,993.6033333333332,1003.5033333333332,0,20.02,3.945,326.38,Y,0,1,1
2019-10-03,13,597,2019-10-03,13,4.6,55.38166666666667,5.720833333333333,995.8183333333332,1005.5016666666668,7467,26.016666666666666,2.975,290.69,Y,0,1,1
2019-10-03,14,699,2019-10-03,14,4.6,51.693333333333335,7.430666666666666,996.0566666666668,1005.6566666666666,10429,26.961666666666662,3.771666666666667,296.705,Y,0,1,1
2019-10-03,15,753,2019-10-03,15,4.6,53.431666666666665,8.483,996.6166666666668,1006.28,13174,26.486666666666668,3.56,293.3283333333333,Y,0,1,1
2019-10-03,16,785,2019-10-03,16,4.6,48.44166666666667,9.481333333333334,997.1616666666666,1006.7716666666668,16110,27.02833333333333,2.8466666666666667,296.7633333333333,Y,0,1,1
2019-10-03,17,898,2019-10-03,17,4.6,52.986666666666665,10.060166666666667,997.7966666666669,1007.4866666666666,19695,26.10666666666667,2.5683333333333334,315.4116666666667,Y,0,1,1
2019-10-03,18,852,2019-10-03,18,4.6,63.62833333333333,10.140000000000002,998.325,1008.025,21180,24.15833333333333,1.9533333333333327,331.315,Y,0,1,1
2019-10-03,19,769,2019-10-03,19,4.6,66.60666666666667,10.140000000000002,999.0883333333334,1008.8766666666668,21180,22.863333333333333,1.6033333333333333,253.9283333333333,Y,0,1,1
2019-10-03,20,750,2019-10-03,20,4.6,64.24499999999999,10.140000000000002,999.8283333333331,1009.6283333333332,21180,22.076666666666664,1.7016666666666669,132.96333333333334,Y,0,1,1
2019-10-03,21,718,2019-10-03,21,4.6,67.89,10.140000000000002,1000.3833333333332,1010.2383333333332,21180,21.55333333333333,1.7066666666666668,197.65,Y,0,1,1
2019-10-03,22,636,2019-10-03,22,4.6,74.075,10.140000000000002,1000.78,1010.68,21180,20.765,1.7033333333333334,330.9583333333333,Y,0,1,1
2019-10-03,23,515,2019-10-03,23,4.6,73.17166666666667,10.140000000000002,1000.9066666666666,1010.8066666666668,21180,20.47,1.346666666666667,283.15333333333336,Y,0,1,1
2019-10-04,1,308,2019-10-04,1,0.0,77.93333333333334,0.0,1001.3233333333334,1011.2833333333332,0,19.951666666666664,1.4966666666666666,281.25333333333333,N,1,0,0
2019-10-04,2,228,2019-10-04,2,0.0,80.91166666666666,0.0,1001.325,1011.225,0,19.39,1.4549999999999998,330.9866666666667,N,1,0,0
